Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.4,cover,cover,,,,,,272.6,,272.7,183,4.717,0.105,-7.842,0.185,mtx,,,,,,,,,
0.8,ls,ri-sts,,,,,,272.6,,272.7,183,3.531,0.106,-12.655,0.289,mts,,,,,,,,,
0.2,si,sts,,,,,,274.7,,274.8,185,4.532,0.045,-7.704,0.116,mtx,,,,,,,,,
1.2,ls,ri,,,,,,277.9,,278,188,3.932,0.089,-7.289,0.312,mtx,,,,,,,,,
3.6,cover,cover,,,,,,277.9,,278,188,2.27,0.078,-11.982,0.376,mts,,,,,,,,,
1.4,ls,ri-sts,,,,,,278.9,,279,189,4.139,0.074,-6.927,0.265,mtx,,,,,,,,,
1.5,cover,cover,,,,,,278.9,,279,189,4.609,0.071,-4.514,0.122,mts,,,,,,,,,
0.6,ls,ri-sts,,,,,,281.4,SUB 0.1,281.4,193,4.058,0.069,-7.496,0.237,mtx,,,,,,,,,
4.6,cover,cover,,,,,,281.5,,281.5,194,5.459,0.03,-6.569,0.147,mtx,,,,,,,,,
0.2,ls,ri,,,,,,281.5,,281.5,194,5.891,0.072,-5.664,0.272,mts,,,,,,,,,
3.7,cover,cover,,,,,,282.7,,282.7,194,5.352,0.068,-6.773,0.14,mtx,,,,,,,,,
2.6,ls,ri,,,,,,282.7,,282.7,194,6.114,0.063,-6.047,0.192,mts,,,,,,,,,
1.4,cover,cover,,,,,,284,,284,194,5.289,0.09,-8.147,0.127,mtx,,,,,,,,,
6,ls,ri,,,,,,285.1,,285.1,194,4.971,0.059,-7.741,0.246,mtx,,,,,,,,,
0.1,ls,gr,,,,,,285.1,,285.1,194,5.61,0.039,-5.575,0.368,mts,,,,,,,,,
0.8,ls,ri,,,,,,286.3,,286.3,194,5.595,0.064,-9.267,0.072,mtx,,,,,,,,,
1.8,ls,gr,ssd+pl,,,,,286.3,,286.3,194,5.45,0.055,-5.84,0.153,mts,,,,,,,,,
2,cover,cover,,,,,,287.4,,287.4,196,5.372,0.1,-5.447,0.272,mtx,,,,,,,,,
1.9,ls,gr,,,,,,287.4,,287.4,196,5.977,0.065,-7.607,0.151,mts,,,,,,,,,
0.8,cover,cover,,,,,,288.9,,288.9,199,4.407,0.081,-4.337,0.198,mtx,,,,,,,,,
1.9,ls,gr,,,,,,289.9,,289.9,199,4.964,0.063,-4.372,0.207,mtx,,,,,,,,,
0.3,ls,gr,icb,,,,,290.8,,290.8,200,4.704,0.06,-3.688,0.073,mtx,,,,,,,,,
0.2,ls,ri,,,,,,292.3,,292.3,201,5.476,0.048,-2.257,0.163,mtx,,,,,,,,,
0.5,ls,gr,,,,,,293.6,,293.6,206,4.683,0.061,-3.849,0.074,mtx,,,,,,,,,
1.1,cover,cover,,,,,,293.6,,293.6,206,4.64,0.071,-6.179,0.342,mts,,,,,,,,,
6.9,ls,gr,pl,,,,,293.8,,293.8,206,4.619,0.035,-4.15,0.16,mtx,,65.08319429,367630.6293,594.1799291,74376.29437,675.7745541,569.1239374,52.40602533,417.320253
1.8,ls,icb,,,,,,293.8,,293.8,206,5.641,0.048,-3.856,0.182,mts,0.706779557,-108.1901339,457495.1753,-4.732518792,1030.628466,27.20058974,125.6269276,-45.00575393,608.632333
4.4,ls,gr,ch,,,,,295.5,,295.5,209,5.077,0.063,-3.582,0.117,mtx,,,,,,,,,
1.5,cover,cover,,,,,,296.5,,296.5,209,5.305,0.09,-1.581,0.113,mtx,,,,,,,,,
0.6,ls,gr,,,,,,297.6,,297.6,210,5.156,0.066,-2.246,0.149,mtx,,,,,,,,,
0.7,ls,gr,icb,,,,,298.8,,298.8,210,5.124,0.032,-1.768,0.15,mtx,,,,,,,,,
6,ls,gr,,,,,,300,,300,212,4.852,0.043,-1.545,0.218,mtx,,,,,,,,,
