Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T23,7/13/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.6,dl,R,,,659.8,,659.8,361,5.93,-3.11,mtx
1.9,cover,cover,,,660.5,,660.5,362,5.36,-2.77,mtx
0.4,dl,R,,,662.4,,662.4,366,6.08,-4.76,mtx
7,cover,cover,,,663.1,,663.1,367,6.36,-5.03,mtx
0.5,dl,R,,,667.3,,667.3,367,6.52,-4.87,mtx
2.8,cover,cover,,,671,,671,374,6.3,-5.19,mtx
0.4,dl,R,,,672.5,,672.5,376.5,5.73,-5.27,mtx
0.3,si,shl,,,674.4,,674.4,380,5.35,-5.59,mtx
0.2,dl,R,,,677,,677,382,6.24,-5.17,mtx
0.2,si,shl,,,679,,679,386,5.47,-5.51,mtx
0.3,dl,R,,,682.7,,682.7,395,5.67,-6.11,mtx
0.2,si,shl,,,685.5,,685.5,399.5,4.46,-6.36,mtx
0.2,dl,R,,,687.1,,687.1,405,2.06,-10.9,mtx
8.6,cover,cover,,,688.2,,688.2,407.5,1.61,-10.64,mtx
1.1,dl,R,,,690.4,,690.4,411,1.15,-10.55,mtx
0.2,si,shl,,,697.3,,697.3,416.5,1.42,-11.03,mtx
3.9,dl,R,,,698.6,,698.6,420,5.78,-6.31,mtx
1.9,dl,R,,,699.2,,699.2,421,-1.69,-9.47,mtx
0.8,dl,R,,,709.1,,709.1,427.5,1.78,-6.13,mtx
8.9,cover,cover,,,714.3,,714.3,433,,,
0.7,dl,R,,,716.8,,716.8,437,2.77,-9.89,mtx
0.5,cover,cover,,,718.6,,718.6,438.5,,,
1,dl,R,,,723,,723,443,3.81,-10.63,mtx
3.3,dl,R,,,724.6,,724.6,445,4.96,-9.43,mtx
0.5,dl,ri,,,728.3,,728.3,449.5,5.19,-10.73,mtx
1.4,cover,cover,,,730.9,,730.9,453,1.3,-1.49,mtx
2,dl,ri,,,733.9,,733.9,455,2.14,-9.37,mtx
9.6,cover,cover,,,735.6,,735.6,457,2.82,-10.75,mtx
0.5,dl,R,,,737.2,,737.2,461,2.45,-10.24,mtx
6.3,cover,cover,,,738.5,,738.5,465,2.52,-7.39,mtx
3.3,si,shl,,,745,,745,467,-0.32,-10.36,mtx
1.7,dl,R,,,769.8,,769.8,478,-1.71,-4.78,mtx
0.8,si,shl,,,774.6,,774.6,481,,,
6.1,cover,cover,,,779.1,,779.1,484.5,0.12,-3.16,mtx
0.3,sl,gr,,,782.4,,782.4,487.5,-0.71,-6.16,mtx
0.8,cover,cover,,,784,,784,492,1.13,-7.09,mtx
0.5,dl,ri,,,784.7,,784.7,492,2.07,-8.76,mtx
1.1,cover,cover,,,788.7,,788.7,493,4.55,-8.87,mtx
0.3,dl,gr,,,789.5,,789.5,493,6.43,-9.35,mtx
20,cover,cover,,,795.1,,795.1,494,5.87,-9.42,mtx
28,ls,ri,,,797.9,,797.9,496,2.93,-9.26,mtx
2,ls,ri,,,800.3,,800.3,496,3.28,-9.13,mtx
0.5,ls,gr,,,803.1,,803.1,497,3.13,-9.39,mtx
1.3,ls,ri,,,806.8,,806.8,498,2.71,-10.12,mtx
1.1,ls,gr,,,808.8,,808.8,499,1.97,-9.92,mtx
0.5,ls,ri,,,812.4,,812.4,500,0.7,-10.38,mtx
0.2,ls,gr,,,814.4,,814.4,500,2.1,-10.1,mtx
0.2,ls,ri,,,818.5,,818.5,502,0.88,-7.58,mtx
0.9,ls,gr,,,820.6,,820.6,506,2.25,-4.48,mtx
0.3,ls,ri,,,825,,825,509,2.36,-9.49,mtx
2.1,ls,gr,,,827.4,,827.4,511,1.66,-9.46,mtx
0.9,ls,ri,,,828.9,,828.9,511,1.34,-6.82,mtx
0.2,ls,gr,,,832.3,,832.3,515,2.39,-10.18,mtx
0.1,ls,ri,,,835.9,,835.9,515,0.58,-6.32,mtx
0.2,ls,gr,,,837.6,,837.6,515,1.96,-7.36,mtx
0.2,ls,ri,,,845.3,,845.3,517,2.28,-11.54,mtx
0.1,ls,gr,,,848.7,,848.7,518,2.44,-9.45,mtx
0.4,ls,ri,,,852.7,,852.7,518,1.31,-9.61,mtx
0.5,ls,gr,,,856,,856,519.5,0.88,-8.62,mtx
1.1,ls,ri,,,861.1,,861.1,523,2.33,-10.93,mtx
1.4,ls,gr,,,866.3,,866.3,523,0.94,-9.28,mtx
0.6,ls,ri,,,869.5,,869.5,523,2.44,-11.12,mtx
0.5,ls,ri,,,872.3,,872.3,523,0.32,-8.5,mtx
0.3,ls,gr,,,875.3,,875.3,524,0.5,-10.05,mtx
0.3,ls,ri,,,879.7,,879.7,529,0.41,-9.82,mtx
0.7,ls,gr,,,881.8,,881.8,530,0.95,-10.29,mtx
1.1,ls,gr,,,885.9,,885.9,531,-0.47,-9.44,mtx
0.3,cover,cover,,,892.9,,892.9,533,0.25,-12.53,mtx
3.7,ls,icb,,,914.6,,914.6,537,-0.46,-8.83,mtx
0.4,ls,ri,,,915.5,,915.5,537,-0.07,-10.68,mtx
3,ls,gr,,,916.6,,916.6,539,0.7,-10.08,mtx
0.3,cover,cover,,,917.5,,917.5,539,1.01,-10.31,mtx
0.2,ls,ri,,,919,,919,539,0.63,-10.4,mtx
1,cover,cover,,,919.4,,919.4,539,,,
0.6,ls,gr,,,927.6,,927.6,540,,,
0.3,ls,ri,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.7,ls,gr,,,,,,,,,
0.3,ls,ri,,,,,,,,,
1.1,ls,gr,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.2,ls,ri,,,,,,,,,
1.7,ls,gr,,,,,,,,,
0.8,ls,ri,,,,,,,,,
0.7,ls,icb,,,,,,,,,
0.7,ls,gr,,,,,,,,,
0.2,cover,cover,,,,,,,,,
1.8,ls,R,,,,,,,,,
0.4,ls,ri,,,,,,,,,
2.2,ls,gr,,,,,,,,,
2.2,ls,gr,,,,,,,,,
0.4,ls,icb,,,,,,,,,
1.4,ls,gr,,,,,,,,,
2,ls,icb,,,,,,,,,
0.2,cover,cover,,,,,,,,,
0.2,ls,ri,,,,,,,,,
2,ls,icb,,,,,,,,,
0.4,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.8,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.2,cover,cover,,,,,,,,,
0.3,ls,ri,,,,,,,,,
1.1,ls,gr,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.8,ls,gr,,,,,,,,,
0.5,ls,icb,,,,,,,,,
3.3,ls,gr,,,,,,,,,
0.3,ls,gr,,,,,,,,,
2.3,ls,gr,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.2,ls,icb,,,,,,,,,
3.4,ls,gr,,,,,,,,,
1.1,cover,cover,,,,,,,,,
1.1,ls,gr,,,,,,,,,
1.8,ls,icb,,,,,,,,,
1,cover,cover,,,,,,,,,
0.7,ls,icb,,,,,,,,,
1.2,cover,cover,,,,,,,,,
1.5,ls,gr,,,,,,,,,
0.9,cover,cover,,,,,,,,,
0.2,ls,gr,,,,,,,,,
0.8,cover,cover,,,,,,,,,
1.4,ls,icb,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.3,ls,icb,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.7,ls,gr,,,,,,,,,
0.3,cover,cover,,,,,,,,,
2.6,ls,gr,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.4,ls,icb,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.8,cover,cover,,,,,,,,,
1.3,ls,gr,,,,,,,,,
0.9,cover,cover,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.7,ls,icb,,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.9,ls,gr,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.8,cover,cover,,,,,,,,,
0.4,ls,icb,,,,,,,,,
0.7,ls,gr,,,,,,,,,
0.8,ls,icb,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.5,ls,icb,,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.6,ls,icb,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.9,ls,icb,,,,,,,,,
1.4,ls,gr,,,,,,,,,
1,ls,icb,,,,,,,,,
0.4,cover,cover,,,,,,,,,
0.2,ls,gr,,,,,,,,,
0.6,cover,cover,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.4,ls,gr,,,,,,,,,
0.1,ls,icb,,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.4,ls,gr,,,,,,,,,
0.3,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.6,cover,cover,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.7,ls,gr,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.4,cover,cover,,,,,,,,,
1,ls,icb,,,,,,,,,
0.4,ls,ri,,,,,,,,,
1.4,cover,cover,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.6,cover,cover,,,,,,,,,
0.6,ls,gr,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.6,ls,gr,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.5,ls,gr,,,,,,,,,
2.1,ls ,icb,,,,,,,,,
1.4,ls,gr,,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.1,ls,icb,,,,,,,,,
1.4,cover,cover,,,,,,,,,
1.7,ls,gr,,,,,,,,,
0.5,cover,cover,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.6,ls,icb,,,,,,,,,
1.6,ls,gr,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.2,ls,ri,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.8,ls,gr,,,,,,,,,
1.2,ls,gr,,,,,,,,,
4.4,ls,gr,,,,,,,,,
0.4,ls,ri,,,,,,,,,
1.2,cover,cover,,,,,,,,,
1,ls,gr,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.2,ls,ri,,,,,,,,,
0.1,ls,icb,,,,,,,,,
0.6,ls,ri,,,,,,,,,
1.1,ls,icb,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.2,ls,icb,,,,,,,,,
1.2,ls,gr,,,,,,,,,
0.2,ls,st,,,,,,,,,
1.9,ls,gr,,,,,,,,,
0.8,cover,cover,,,,,,,,,
0.4,ls,gr,,,,,,,,,
1.1,cover,cover,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.1,ls,icb,,,,,,,,,
0.2,ls,ri,,,,,,,,,
0.7,ls,icb,,,,,,,,,
0.1,ls,ri,,,,,,,,,
1,ls,gr,,,,,,,,,
0.1,ls,st,,,,,,,,,
0.2,ls,icb,,,,,,,,,
0.8,cover,cover,,,,,,,,,
0.2,ls,gr,,,,,,,,,
0.4,cover,cover,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.4,ls,gr,,,,,,,,,
1,cover,cover,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.9,si,shl,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.3,si,shl,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.8,si,shl,,,,,,,,,
0.2,ls,gr-shl,,,,,,,,,
0.2,ls,gr,,,,,,,,,
0.9,si,shl,,,,,,,,,
0.1,ls,ri,,,,,,,,,
1.4,si,shl,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.6,si,shl,,,,,,,,,
0.2,ls,ri,,,,,,,,,
1.7,si,shl-ri,,,,,,,,,
1.4,cover,cover,,,,,,,,,
3.2,si,shl,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.4,si,shl,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.7,si,shl,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.9,si,shl,,,,,,,,,
0.3,ls-dl,ri,,,,,,,,,
4.2,si,shl,,,,,,,,,
2,cover,cover,,,,,,,,,
1.95,si,shl,,,,,,,,,
0.05,ls,ri,,,,,,,,,
1.4,si,shl,,,,,,,,,
0.1,ls-dl,ri,,,,,,,,,
0.5,si,shl,,,,,,,,,
0.1,ls,R,,,,,,,,,
2.9,si,shl,,,,,,,,,
0.3,ml,R,,,,,,,,,
1.3,si,shl,,,,,,,,,
0.2,dl,ri,,,,,,,,,
0.1,si,shl,,,,,,,,,
0.2,dl,ri,,,,,,,,,
2,si,shl,,,,,,,,,
0.2,ls-dl,ri,,,,,,,,,
1.7,si,shl,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.15,si,shl,,,,,,,,,
0.05,dl,ri,,,,,,,,,
4,si,shl,,,,,,,,,
0.3,ls,ri,,,,,,,,,
1.2,ls,ri-shl,,,,,,,,,
0.3,ls,gr,,,,,,,,,
1.4,si,shl-ri,,,,,,,,,
1.5,cover,cover,,,,,,,,,
0.6,si,shl-ri,,,,,,,,,
0.1,ls,ri,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,
1,cover,cover,,,,,,,,,
1.1,si,shl,,,,,,,,,
0.3,dl,ri,,,,,,,,,
2.7,si,shl,,,,,,,,,
0.6,ls,ri,,,,,,,,,
0.6,si,shl-ri,,,,,,,,,
1.1,ls,ri,,,,,,,,,
0.4,si,shl,,,,,,,,,
0.3,ls,ri,,,,,,,,,
0.4,si,shl-ri,,,,,,,,,
0.2,ls,ri,,,,,,,,,
0.5,si,shl-ri,,,,,,,,,
0.4,ls-dl,ri,,,,,,,,,
0.2,si,shl,,,,,,,,,
0.4,dl,ri,,,,,,,,,
0.7,ls,ri,,,,,,,,,
5.7,si,shl,,,,,,,,,
0.05,ls,ri,,,,,,,,,
0.5,si,shl,,,,,,,,,
0.05,ls,ri,,,,,,,,,
2.2,si,shl,,,,,,,,,
1.4,cover,cover,,,,,,,,,
2.8,si,shl,,,,,,,,,
2.8,cover,cover,,,,,,,,,
14.1,si,shl,,,,,,,,,
0.05,ls,ri,,,,,,,,,
0.55,si,shl,,,,,,,,,
0.2,dl,ri,,,,,,,,,
1.4,si,shl,,,,,,,,,
2.4,cover,cover,,,,,,,,,
1.2,ml,ri,,,,,,,,,
1.9,si,shl,,,,,,,,,
0.1,dl,ri,,,,,,,,,
2.2,si,shl,,,,,,,,,
0.1,dl,ri,,,,,,,,,
3.1,si,shl,,,,,,,,,
0.1,dl,ri,,,,,,,,,
0.1,si,shl,,,,,,,,,
0.1,dl,R,,,,,,,,,
0.2,dl,ri,,,,,,,,,
0.8,si,shl,,,,,,,,,
1.8,ls,ri,,,,,,,,,
8.4,ls,ri,,,,,,,,,
