Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T27,1/18/13,,,,,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
1.2,cover,cover,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
2.7,cover,cover,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
1.3,cover,cover,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
3.2,cover,cover,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
1.5,cover,cover,,,,,,,,,,,
1.3,si,shl,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
0.5,cover,cover,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
1.1,dl,ri-shl,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,
0.3,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.7,si,shl,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,
0.8,cover,cover,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.1,si,shl,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
