section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,dolostone,Bitter Springs,-1867.1,80.4,-2.9,-4.9,,,
W1,dolostone,Bitter Springs,-1866.6,80.9,-3.2,-5.1,,,
W1,dolostone,Bitter Springs,-1865.9,81.6,-3.1,-3.5,,,
W1,dolostone,Bitter Springs,-1865.5,82,-3.4,-4.7,,,
W1,dolostone,Bitter Springs,-1865,82.5,-3.5,-5,,,
W1,insoluble residue,Bitter Springs,-1864.2,83.3,,,-29.9,26.4,
W1,dolostone,Bitter Springs,-1862.8,84.7,-3.5,-4.7,,,
W1,dolostone,Bitter Springs,-1862.4,85.1,-3.8,-4.9,,,
W1,dolostone,Bitter Springs,-1861.3,86.2,-4,-4.9,,,
W1,dolostone,Bitter Springs,-1861,86.5,-3.6,-4.3,,,
W1,dolostone,Bitter Springs,-1859.8,87.7,-4.1,-5,-32.1,28,0.145
W1,dolostone,Bitter Springs,-1859.2,88.3,-3.9,-4.6,,,
W1,,Bitter Springs,-1859,88.5,,,,,
W1,,Bitter Springs,-1858.8,88.7,,,,,
W1,dolostone,Bitter Springs,-1857.6,89.9,-4,-4.9,,,
W1,dolostone,Bitter Springs,-1857.1,90.4,-3.6,-5,,,
W1,,Bitter Springs,-1857,90.5,,,,,
W1,insoluble residue,Bitter Springs,-1855.7,91.8,,,-31.5,28,
W1,dolostone,Bitter Springs,-1855.2,92.3,-3.6,-4.6,,,
W1,dolostone,Bitter Springs,-1855,92.5,-3.5,-5.2,,,
W1,dolostone,Bitter Springs,-1853.7,93.8,-3.4,-4.8,,,
W1,dolostone,Bitter Springs,-1853.4,94.1,-3.1,-4.7,,,
W1,dolostone,Bitter Springs,-1850.2,97.3,,,,,
W1,dolostone,Bitter Springs,-1849.5,98,,,,,
W1,dolostone,Bitter Springs,-1848.2,99.3,,,,,
W1,dolostone,Bitter Springs,-1846.2,101.3,-2.3,-3.6,,,
W1,dolostone,Bitter Springs,-1846,101.5,-3.1,-4.3,,,
W1,dolostone,Bitter Springs,-1845.4,102.1,-3.1,-4.6,,,
W1,dolostone,Bitter Springs,-1844.7,102.8,-3,-4.3,,,
W1,,Bitter Springs,-1844.5,103,,,,,
W1,insoluble residue,Bitter Springs,-1844.3,103.2,,,-31,28,
W1,dolostone,Bitter Springs,-1843.4,104.1,-3.1,-4.5,,,
W1,,Bitter Springs,-1842.8,104.7,,,,,
W1,dolostone,Bitter Springs,-1842.2,105.3,-2.9,-5.1,,,
W1,dolostone,Bitter Springs,-1841.4,106.1,-3.1,-5.3,,,
W1,dolostone,Bitter Springs,-1840.7,106.8,-3.1,-4.1,,,
W1,dolostone,Bitter Springs,-1839.6,107.9,-3.1,-4.1,-31,27.9,
W1,dolostone,Bitter Springs,-1838.7,108.8,-3.4,-4.9,,,
W1,,Bitter Springs,-1838.6,108.9,,,,,
W1,dolostone,Bitter Springs,-1838.2,109.3,-2.9,-5.4,,,
W1,insoluble residue,Bitter Springs,-1837.2,110.3,,,-32.3,29.4,
W1,dolostone,Bitter Springs,-1836.6,110.9,-2.4,-3.5,,,
W1,dolostone,Bitter Springs,-1834.7,112.8,-2.5,-4.8,,,
W1,,Bitter Springs,-1834.6,112.9,,,,,
W1,dolostone,Bitter Springs,-1833.5,114,-2.4,-4.5,,,
W1,insoluble residue,Bitter Springs,-1833.3,114.2,,,-30.2,27.6,
W1,dolostone,Bitter Springs,-1833.2,114.3,-2.6,-4.4,,,
W1,dolostone,Bitter Springs,-1832,115.5,-2.6,-4.2,,,
W1,dolostone,Bitter Springs,-1831.7,115.8,-2.7,-3.8,,,
W1,dolostone,Bitter Springs,-1831.2,116.3,-2.7,-4.3,,,
W1,dolostone,Bitter Springs,-1829.9,117.6,-2.9,-3.7,,,
W1,insoluble residue,Bitter Springs,-1829.1,118.4,,,-31.8,28.8,
W1,dolostone,Bitter Springs,-1828.5,119,-3.2,-4.5,,,
W1,dolostone,Bitter Springs,-1827,120.5,-3.6,-4.6,,,
W1,dolostone,Bitter Springs,-1826.8,120.7,-3.6,-4.5,,,
W1,insoluble residue,Bitter Springs,-1825.9,121.6,,,-28.9,26.2,
W1,dolostone,Bitter Springs,-1825.4,122.1,-2.7,-3.5,,,
W1,dolostone,Bitter Springs,-1824.7,122.8,-2.8,-4,,,
W1,dolostone,Bitter Springs,-1823.1,124.4,-2.6,-4.3,,,
W1,insoluble residue,Bitter Springs,-1823,124.5,,,-29.8,27.3,
W1,,Bitter Springs,-1822.2,125.3,,,,,
W1,dolostone,Bitter Springs,-1821.3,126.2,-2.5,-5,,,
W1,dolostone,Bitter Springs,-1820.9,126.6,-2.5,-4.8,-30.4,27.9,
W1,dolostone,Bitter Springs,-1819.9,127.6,-2.2,-4.7,,,
W1,dolostone,Bitter Springs,-1818.5,129,-2.6,-4.9,,,
W1,insoluble residue,Bitter Springs,-1818,129.5,,,-29.8,27.2,
W1,dolostone,Bitter Springs,-1817.3,130.2,-2.8,-6.1,,,
W1,,Bitter Springs,-1817.1,130.4,,,,,
W1,insoluble residue,Bitter Springs,-1817,130.5,,,-28.3,25.5,
W1,dolostone,Bitter Springs,-1815.7,131.8,-2.4,-5.2,,,
W1,dolostone,Bitter Springs,-1814.4,133.1,-2.7,-6,,,
W1,insoluble residue,Bitter Springs,-1813.3,134.2,,,-29.7,27,
W1,insoluble residue,Bitter Springs,-1813,134.5,,,-30,27.5,
W1,dolostone,Bitter Springs,-1812.4,135.1,-2.5,-6,,,
W1,dolostone,Bitter Springs,-1811,136.5,-2,-5.9,,,
W1,dolostone,Bitter Springs,-1810.5,137,-2.4,-6.6,,,
W1,dolostone,Bitter Springs,-1809.6,137.9,-2.5,-5.7,,,
W1,dolostone,Bitter Springs,-1807.7,139.8,-3.5,-6.2,,,
W1,insoluble residue,Bitter Springs,-1807.6,139.9,,,-30.1,26.6,
W1,dolostone,Bitter Springs,-1805.7,141.8,-2,-6.1,,,
W1,dolostone,Bitter Springs,-1804.4,143.1,-2.5,-5.3,-30.4,27.9,0.016
W1,dolostone,Bitter Springs,-1802.7,144.8,-2.3,-5.9,,,
W1,,Bitter Springs,-1801.7,145.9,,,,,
W1,dolostone,Bitter Springs,-1801,146.5,-2,-6.1,,,
W1,,Bitter Springs,-1800,147.5,,,,,
W1,dolostone,Bitter Springs,-1799.2,148.3,-2,-5.5,,,
W1,dolostone,Bitter Springs,-1798,149.5,-2.1,-5.7,-29.8,27.8,0.03
W1,dolostone,Bitter Springs,-1796.7,150.8,-3.1,-7.5,,,
W1,,Bitter Springs,-1796.5,151,,,,,
W1,dolostone,Bitter Springs,-1794,153.5,-1.8,-4.6,,,
W1,dolostone,Bitter Springs,-1793,154.5,-1.5,-4.3,-26.8,25.3,0.007
W1,dolostone,Bitter Springs,-1791.4,156.1,-1.8,-4.5,,,
W1,insoluble residue,Bitter Springs,-1750.2,197.3,,,-26.7,32.4,
W1,dolostone,Bitter Springs,-1750,197.5,5.7,-2.5,,,
W1,dolostone,Bitter Springs,-1743,204.5,4.9,-2.5,,,
W1,insoluble residue,Bitter Springs,-1743,204.5,,,-27.2,32.1,
W1,dolostone,Bitter Springs,-1742.7,204.8,5.1,-2.6,,,
W1,insoluble residue,Bitter Springs,-1742.5,205,,,-26.3,31.8,
W1,dolostone,Bitter Springs,-1742.4,205.1,5.6,-3.4,,,
W1,limestone,Bitter Springs,-1741.3,206.2,5,-5.9,,,
W1,limestone,Bitter Springs,-1740.6,206.9,5,-6,,,
W1,limestone,Bitter Springs,-1740.3,207.2,5.1,-6.1,,,
W1,limestone,Bitter Springs,-1739.3,208.2,5.6,-5.5,,,
W1,limestone,Bitter Springs,-1738.5,209,5.1,-6.1,,,
W1,limestone,Bitter Springs,-1737.7,209.8,5.9,-5.7,,,
W1,insoluble residue,Bitter Springs,-1736.8,210.7,,,-25.9,31.3,
W1,limestone,Bitter Springs,-1735.7,211.8,5.5,-5.5,,,
W1,limestone,Bitter Springs,-1734.2,213.3,6.1,-4.9,,,
W1,limestone,Bitter Springs,-1733.6,213.9,5.9,-5,,,
W1,limestone,Bitter Springs,-1733,214.5,6,-5.1,,,
W1,insoluble residue,Bitter Springs,-1732.9,214.6,,,-26.3,32.3,
W1,limestone,Bitter Springs,-1732,215.5,5.8,-4.9,,,
