sample,height,unit,location,bold_age,87Sr/86Sr,Sr_ppm,Mn/Sr,Rb/Sr,carb_perc,method,period,reference,bold_altered
U1121,8,Ol,Mongolia(Tsagaan Gorge),-634.9199288,0.70776,212,,,,MC-ICPMS,Ediacaran,this study,yes
U1122,12,Sh1,Mongolia(Tsagaan Gorge),-633.2829181,0.707978,353,,,,MC-ICPMS,Ediacaran,this study,yes
U1122,14.5,Sh1,Mongolia(Tsagaan Gorge),-633.2117437,0.707605,445,,,,MC-ICPMS,Ediacaran,this study,yes
U1122,16,Sh1,Mongolia(Tsagaan Gorge),-633.1405694,0.707727,631,,,,MC-ICPMS,Ediacaran,this study,no
U1122,19,Sh1,Mongolia(Tsagaan Gorge),-633.069395,0.707668,564,,,,MC-ICPMS,Ediacaran,this study,no
U1122,21.5,Sh1,Mongolia(Tsagaan Gorge),-632.9982206,0.707565,835,,,,MC-ICPMS,Ediacaran,this study,no
U1122,22.5,Sh1,Mongolia(Tsagaan Gorge),-632.9270462,0.707619,635,,,,MC-ICPMS,Ediacaran,this study,no
U1122,26.5,Sh1,Mongolia(Tsagaan Gorge),-632.8558719,0.707582,807,,,,MC-ICPMS,Ediacaran,this study,no
U1122,30.5,Sh1,Mongolia(Tsagaan Gorge),-632.7135231,0.708453,105,,,,MC-ICPMS,Ediacaran,this study,yes
U1235,143,Sh3a,Mongolia(Tsagaan Gorge),-588.4614255,0.707951,1470,,,,MC-ICPMS,Ediacaran,this study,no
U1235,118,Sh3a,Mongolia(Tsagaan Gorge),-592.6350159,0.708004,475,,,,MC-ICPMS,Ediacaran,this study,yes
U1235,111,Sh3a,Mongolia(Tsagaan Gorge),-598.1038585,0.707893,669,,,,MC-ICPMS,Ediacaran,this study,no
U1235,104,Sh3a,Mongolia(Tsagaan Gorge),-598.9673599,0.707836,1800,,,,MC-ICPMS,Ediacaran,this study,no
U1235,94,Sh3a,Mongolia(Tsagaan Gorge),-600.2626121,0.707825,2230,,,,MC-ICPMS,Ediacaran,this study,no
U1235,86,Sh3a,Mongolia(Tsagaan Gorge),-600.5,0.707883,817,,,,MC-ICPMS,Ediacaran,this study,no
U1235,79,Sh3a,Mongolia(Tsagaan Gorge),-602.7091996,0.707826,1020,,,,MC-ICPMS,Ediacaran,this study,no
F872,172,Sh3a,Mongolia(Tsagaan Gorge),-602.7091996,0.707959,115,,,,MC-ICPMS,Ediacaran,this study,yes
F872,189,Sh3a,Mongolia(Tsagaan Gorge),-600.2626121,0.707713,1190,,,,MC-ICPMS,Ediacaran,this study,no
F872,193,Sh3a,Mongolia(Tsagaan Gorge),-599.6869445,0.70769,1650,,,,MC-ICPMS,Ediacaran,this study,no
F872,198,Sh3a,Mongolia(Tsagaan Gorge),-598.9673599,0.707834,786,,,,MC-ICPMS,Ediacaran,this study,no
F872,204,Sh3a,Mongolia(Tsagaan Gorge),-598.1038585,0.708466,61,,,,MC-ICPMS,Ediacaran,this study,yes
F872,242,Sh3b,Mongolia(Tsagaan Gorge),-592.6350159,0.708036,155,,,,MC-ICPMS,Ediacaran,this study,yes
F872,244,Sh3b,Mongolia(Tsagaan Gorge),-592.3471821,0.707931,278,,,,MC-ICPMS,Ediacaran,this study,yes
F872,246,Sh3b,Mongolia(Tsagaan Gorge),-592.0593483,0.707786,1700,,,,MC-ICPMS,Ediacaran,this study,no
F872,249,Sh3b,Mongolia(Tsagaan Gorge),-591.6275975,0.707784,1750,,,,MC-ICPMS,Ediacaran,this study,no
F872,251,Sh3b,Mongolia(Tsagaan Gorge),-591.3397637,0.707772,2250,,,,MC-ICPMS,Ediacaran,this study,no
F872,252,Sh3b,Mongolia(Tsagaan Gorge),-591.18,0.707852,587,,,,MC-ICPMS,Ediacaran,this study,no
F872,253,Sh3b,Mongolia(Tsagaan Gorge),-591.0519299,0.707803,886,,,,MC-ICPMS,Ediacaran,this study,no
F872,255,Sh3b,Mongolia(Tsagaan Gorge),-590.7640961,0.707809,750,,,,MC-ICPMS,Ediacaran,this study,no
F872,259,Sh3b,Mongolia(Tsagaan Gorge),-590.1884284,0.707797,1900,,,,MC-ICPMS,Ediacaran,this study,no
F872,261,Sh3b,Mongolia(Tsagaan Gorge),-589.9005946,0.707646,1970,,,,MC-ICPMS,Ediacaran,this study,no
F872,263,Sh3b,Mongolia(Tsagaan Gorge),-589.6127608,0.707899,292,,,,MC-ICPMS,Ediacaran,this study,yes
F872,265,Sh3b,Mongolia(Tsagaan Gorge),-589.324927,0.707833,988,,,,MC-ICPMS,Ediacaran,this study,no
F872,267,Sh3b,Mongolia(Tsagaan Gorge),-589.0370931,0.707793,2000,,,,MC-ICPMS,Ediacaran,this study,no
F872,269,Sh3b,Mongolia(Tsagaan Gorge),-588.7492593,0.707795,1590,,,,MC-ICPMS,Ediacaran,this study,no
F872,271,Sh3b,Mongolia(Tsagaan Gorge),-588.4614255,0.70846,96,,,,MC-ICPMS,Ediacaran,this study,yes
U1437,90,Sh3a,Mongolia(Tsagaan Gorge),-605.5875378,0.707876,190,,,,MC-ICPMS,Ediacaran,this study,yes
U1437,93,Sh3a,Mongolia(Tsagaan Gorge),-605.299704,0.707842,182,,,,MC-ICPMS,Ediacaran,this study,yes
U1437,99,Sh3a,Mongolia(Tsagaan Gorge),-605.0118702,0.708462,111,,,,MC-ICPMS,Ediacaran,this study,yes
F949,148,T3,Mongolia (Khongor Range),-652.6,0.707279,,,,,MC-ICPMS,Ediacaran,this study,no
F949,164,T3,Mongolia (Khongor Range),-651.8,0.707331,,,,,MC-ICPMS,Ediacaran,this study,no
F949,184,T3,Mongolia (Khongor Range),-650.8,0.707411,,,,,MC-ICPMS,Ediacaran,this study,no
Bay S1a,596,ZA,Mongolia (Bayan Gorge),-540,0.70864,122,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",yes
Bay S0,598,ZA,Mongolia (Bayan Gorge),-540.02,0.70853,990,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Tsag. 20,618,ZA,Mongolia(Tsagaan Gorge),-540.22,0.708417,2300,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay S4,618,ZA,Mongolia (Bayan Gorge),-540.22,0.708527,620,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay S5,623,ZA,Mongolia (Bayan Gorge),-540.27,0.708425,755,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Tsag. 24,780,ZA,Mongolia(Tsagaan Gorge),-541.84,0.708553,1080,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay. By O2,800,ZA,Mongolia (Bayan Gorge),-542.04,0.70843,550,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay. Bd14,800,ZA,Mongolia (Bayan Gorge),-542.04,0.708487,510,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay 2,837,ZA,Mongolia (Bayan Gorge),-542.41,0.708562,520,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay 4,847,ZA,Mongolia (Bayan Gorge),-542.51,0.708439,1090,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay 33,870,ZA,Mongolia (Bayan Gorge),-542.74,0.708458,620,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Tsag. 25,870,ZA,Mongolia(Tsagaan Gorge),-542.74,0.708478,284,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",yes
Bay 40,880,ZA,Mongolia (Bayan Gorge),-542.84,0.708574,1120,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay 42,882,ZA,Mongolia (Bayan Gorge),-542.86,0.708648,1520,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Bay 44,890,ZA,Mongolia (Bayan Gorge),-542.94,0.7085,1500,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
Tsag. 26,895,ZA,Mongolia(Tsagaan Gorge),-542.99,0.708687,980,,,,MC-ICPMS,Ediacaran,"Brasier and others, 1996",no
110-03,357,Torginskaya Fm.,Siberia (Chara),-556,0.70825,810,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
116-03,336,Torginskaya Fm.,Siberia (Chara),-556.1776,0.70824,382,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
081-03,282,Torginskaya Fm.,Siberia (Chara),-556.6312,0.70859,315,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
084-03,267,Torginskaya Fm.,Siberia (Chara),-556.7572,0.70829,298,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
105-03,259,Torginskaya Fm.,Siberia (Chara),-556.8244,0.70829,302,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
085-03,251,Torginskaya Fm.,Siberia (Chara),-556.8916,0.70827,355,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
089-03,233,Torginskaya Fm.,Siberia (Chara),-557.0428,0.7082,812,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
094-03,198,Torginskaya Fm.,Siberia (Chara),-557.3368,0.70822,249,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
062-03,124.5,Torginskaya Fm.,Siberia (Chara),-557.9542,0.70834,393,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
063-03,121.5,Torginskaya Fm.,Siberia (Chara),-557.9794,0.70822,361,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
064-03,118.5,Torginskaya Fm.,Siberia (Chara),-558.0046,0.7082,436,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
073-03,10,Torginskaya Fm.,Siberia (Chara),-558.916,0.7083,320,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
075-03,0,Torginskaya Fm.,Siberia (Chara),-559,0.7084,318,,,,TIMS,Ediacaran,"Melezhik and others, 2009",yes
72-04,1095,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.003,0.70821,3300,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
74-04,1084,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.0624,0.70825,3670,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
75-04,1077,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.1002,0.70821,6590,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
77-04,1066,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.1596,0.7082,4430,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
79-04,1040,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.3,0.70818,4440,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
80-04,1030,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.354,0.70819,11870,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
81-04,1015,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.435,0.70816,3990,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
82-04,1003,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.4998,0.70818,3640,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
83-04,986,Cnenchinskaya Fm.,Siberia (Zhuya West),-556.5916,0.70816,2530,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
89-04,790,Cnenchinskaya Fm.,Siberia (Zhuya West),-557.65,0.70808,3190,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
94-04,725,Cnenchinskaya Fm.,Siberia (Zhuya West),-558.001,0.70804,7050,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
95-04,710,Cnenchinskaya Fm.,Siberia (Zhuya West),-558.082,0.70804,1520,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
96-04,690,Cnenchinskaya Fm.,Siberia (Zhuya West),-558.19,0.70803,3620,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
100-04,540,Nikol'skaya Fm.,Siberia (Zhuya West),-559,0.70802,2190,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
80-05,763,Kholychskaya Fm.,Siberia (Bol'shoy Patom),-556.00673,0.70862,6875,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
83-05,741,Kholychskaya Fm.,Siberia (Bol'shoy Patom),-556.10067,0.70847,7690,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
90-05,523,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.03153,0.70846,4670,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
91-05,508,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.09558,0.70836,25800,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
98-05,375,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.66349,0.70819,2505,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
100-05,360,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.72754,0.70819,6280,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
101-05,353,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.75743,0.70818,4508,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
104-05,318,Alyanchskaya Fm.,Siberia (Bol'shoy Patom),-557.90688,0.70813,782,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
123-05,146,Nikol'skaya Fm.,Siberia (Bol'shoy Patom),-558.64132,0.70807,18950,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
114-05,62,Nikol'skaya Fm.,Siberia (Bol'shoy Patom),-559,0.70811,2730,,,,TIMS,Ediacaran,"Melezhik and others, 2009",no
35/93,1550,Valyukhta Fm.,Siberia (Ura),-595.45,0.70802,652.5,0.09,0.0006,,,Ediacaran,"Vinogradov and others, 1996",no
20/93,1450,Valyukhta Fm.,Siberia (Ura),-595.77,0.70769,1989,0.08,0.0003,,,Ediacaran,"Vinogradov and others, 1996",no
19/93,1350,Valyukhta Fm.,Siberia (Ura),-596.1,0.70791,645,0.1,0.0008,,,Ediacaran,"Vinogradov and others, 1996",no
18/93,1250,Valyukhta Fm.,Siberia (Ura),-594.43,0.70781,1824,0.03,0.0051,,,Ediacaran,"Vinogradov and others, 1996",no
75/93,450,Barakun Fm.,Siberia (Ura),-599.05,0.70727,874.5,0.22,0.0015,,,Ediacaran,"Vinogradov and others, 1996",no
73/93,350,Barakun Fm.,Siberia (Ura),-599.38,0.7079,2526,0.04,0.0012,,,Ediacaran,"Vinogradov and others, 1996",no
50/93,70,Barakun Fm.,Siberia (Ura),-620,0.70776,1396,,0.001,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
48/93,50,Barakun Fm.,Siberia (Ura),-630.8316,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
47/93,30,Barakun Fm.,Siberia (Ura),-631.6656,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
46/93,20,Barakun Fm.,Siberia (Ura),-632.0826,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
45/93,10,Barakun Fm.,Siberia (Ura),-632.4996,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
37/05,-1,Dzhemkukan (Bol'shoi Patom) Fm.,Siberia (Ura),-632.9583,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
35/05,-2,Dzhemkukan (Bol'shoi Patom) Fm.,Siberia (Ura),-633,,,,,,TIMS,Ediacaran,"Pokrovskii and others, 2006",no
N91-23A,1942,Blueflower,NW Canada,-551,0.708551,791,,0.0016,,TIMS,,"Narbonne and others, 1994",no
N91-23F,2010,Blueflower,NW Canada,,0.708416,1410,,0.0012,,TIMS,,"Narbonne and others, 1994",no
N91-23H,2060,Blueflower,NW Canada,,0.708607,1249,,0.001,,TIMS,,"Narbonne and others, 1994",no
N91-23K,2155,Blueflower,NW Canada,-546,0.708616,1467,,0.0006,,TIMS,,"Narbonne and others, 1994",no
,868,Buah,Oman,-551.3,0.70883,23,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,864,Buah,Oman,-551.4,0.70894,34,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,840,Buah,Oman,-551.8,0.708669,491,0.62,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,832,Buah,Oman,-552,0.708708,471,0.51,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,732,Shuram,Oman,-553.9,0.708741,474,0.51,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,674,Shuram,Oman,-555,0.708788,327,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,654,Shuram,Oman,-555.4,0.708557,201,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,404,Khufai,Oman,-562.4,0.708553,39,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,388,Khufai,Oman,-566.4,0.70851,118,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,274,Khufai,Oman,-589.9,0.708554,78,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,224,Khufai,Oman,-597.9,0.708411,39,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,200,Khufai,Oman,-601.7,0.708279,29,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,194,Khufai,Oman,-602.6,0.708047,31,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,184,Khufai,Oman,-604.2,0.708533,35,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,176,Khufai,Oman,-605.5,0.708556,28,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
,172,M. Bay,Oman,-606.1,0.708502,44,,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
