section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
G12,G12-1508.0,Little Dal,1508,1789.2,0.76,-2.42,,,,,,,,,,
G12,G12-1510.1,Little Dal,1510.1,1791.3,2.26,-2.06,,,,,,,,,,
G12,G12-1513.2,Little Dal,1513.2,1794.4,2.76,-4.27,,,,,,,,,,
G12,G12-1517.8,Little Dal,1517.8,1799,4.2,-5.44,,,,,,,,,,
G12,G12-1521.5,Little Dal,1521.5,1802.7,4.24,-5.36,,,,,,,,,,
G12,G12-1523.5,Little Dal,1523.5,1804.7,2.26,-3.02,,,,,,,,,,
G12,G12-1529.8,Little Dal,1529.8,1811,2.42,0.27,,,,,,,,,,
G12,G12-1531.4,Little Dal,1531.4,1812.6,1.89,-4.36,,,,,,,,,,
G12,G12-1536.8,Little Dal,1536.8,1818,3.44,3.89,,,,,,,,,,
G12,G12-1542.0,Little Dal,1542,1823.2,3.3,4.45,,,,,,,,,,
G12,G12-1545.0,Little Dal,1545,1826.2,0.47,-3.5,,,,,,,,,,
G12,G12-1548.8,Little Dal,1548.8,1830,0.48,-0.65,,,,,,,,,,
G12,G12-1552.7,Little Dal,1552.7,1833.9,2.12,-5.34,,,,,,,,,,
G12,G12-1555.7,Little Dal,1555.7,1836.9,2.15,-0.85,,,,,,,,,,
G12,G12-1558.7,Little Dal,1558.7,1839.9,1.71,0.29,,,,,,,,,,
G12,G12-1561.4,Little Dal,1561.4,1842.6,3.16,-5.76,,,,,,,,,,
G12,G12-1561.8,Little Dal,1561.8,1843,1.28,-1,,,,,,,,,,
G12,G12-1563.0,Little Dal,1563,1844.2,1.82,-2.17,,,,,,,,,,
G12,G12-1564.2b,Little Dal,1564.2b,1845.4,1.43,-4.85,,,,,,,,,,
G12,G12-1564.2a,Little Dal,1564.2a,1845.4,1.58,-6.09,,,,,,,,,,
G12,G12-1566.3,Little Dal,1566.3,1847.5,1.94,-5.47,,,,,,,,,,
G12,G12-1568.0,Little Dal,1568,1849.2,1.52,3.52,,,,,,,,,,
G12,G12-1571.2,Little Dal,1571.2,1852.4,1.22,-1.87,,,,,,,,,,
G12,G12-1575.5,Little Dal,1575.5,1856.7,2.09,-2.45,,,,,,,,,,
G12,G12-1579.4,Little Dal,1579.4,1860.6,3.25,-2.62,,,,,,,,,,
G12,G12-1584.7,Little Dal,1584.7,1865.9,3.74,-1.09,,,,,,,,,,
G12,G12-1589.4,Little Dal,1589.4,1870.6,4.08,-0.98,,,,,,,,,,
G12,G12-1592.9,Little Dal,1592.9,1874.1,2.5,2.03,,,,,,,,,,
G12,G12-1595.5,Little Dal,1595.5,1876.7,3.35,-2.86,,,,,,,,,,
G12,G12-1598.7,Little Dal,1598.7,1879.9,3.91,1.14,,,,,,,,,,
G12,G12-1602.0,Little Dal,1602,1883.2,2.37,3.65,,,,,,,,,,
G12,G12-1606.1,Little Dal,1606.1,1887.3,3.36,2.52,,,,,,,,,,
G12,G12-1609.5,Little Dal,1609.5,1890.7,3.23,1.02,,,,,,,,,,
G12,G12-1613.8,Little Dal,1613.8,1895,1.61,0.79,,,,,,,,,,
G12,G12-1617.5,Little Dal,1617.5,1898.7,-0.51,1,,,,,,,,,,
G12,G12-1620.7,Little Dal,1620.7,1901.9,0.28,2.15,,,,,,,,,,
G12,G12-1623.6,Little Dal,1623.6,1904.8,1.59,-6.67,,,,,,,,,,
G12,G12-1630.7,Little Dal,1630.7,1911.9,1.13,-6.7,,,,,,,,,,
G12,G12-1635.2,Little Dal,1635.2,1916.4,1.12,-7.21,,,,,,,,,,
G12,G12-1637.0,Little Dal,1637,1918.2,0.59,-5.04,,,,,,,,,,
G12,G12-1640.3,Little Dal,1640.3,1921.5,1.76,-4.82,,,,,,,,,,
G12,G12-1644.0,Little Dal,1644,1925.2,1.68,-6.73,,,,,,,,,,
